partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PB304-CX900T1-5/8S16,"16""",900,304,"1-5/8""",1.625,5.55,230.7,322.98,1837,2021
PBSA36-CX900T1-5/8S16,"16""",900,SA-36,"1-5/8""",1.625,1.87,220.83,309.16,623,686
PBSA516-70-CX900T1-5/8S16,"16""",900,SA-516-70,"1-5/8""",1.625,2.18,220.83,309.16,719,791
PB304L-CX900T1-5/8S16,"16""",900,304L,"1-5/8""",1.625,6.01,230.7,322.98,1986,2185
PB316L-CX900T1-5/8S16,"16""",900,316L,"1-5/8""",1.625,7.48,233.33,326.66,2488,2737
PBAL6061-CX900T1-5/8S16,"16""",900,AL-6061,"1-5/8""",1.625,5.1,77.81,108.93,600,660
PB304-CX900T1-3/4S16,"16""",900,304,"1-3/4""",1.75,5.55,248.45,347.83,1975,2173
PBSA36-CX900T1-3/4S16,"16""",900,SA-36,"1-3/4""",1.75,1.87,237.82,332.95,668,735
PBSA516-70-CX900T1-3/4S16,"16""",900,SA-516-70,"1-3/4""",1.75,2.18,237.82,332.95,771,849
PB304L-CX900T1-3/4S16,"16""",900,304L,"1-3/4""",1.75,6.01,248.45,347.83,2135,2349
PB316L-CX900T1-3/4S16,"16""",900,316L,"1-3/4""",1.75,7.48,251.27,351.78,2676,2944
PBAL6061-CX900T1-3/4S16,"16""",900,AL-6061,"1-3/4""",1.75,5.1,83.8,117.32,643,708
PB304-CX900T1-7/8S16,"16""",900,304,"1-7/8""",1.875,5.55,266.2,372.68,2113,2325
PBSA36-CX900T1-7/8S16,"16""",900,SA-36,"1-7/8""",1.875,1.87,254.81,356.73,712,784
PBSA516-70-CX900T1-7/8S16,"16""",900,SA-516-70,"1-7/8""",1.875,2.18,254.81,356.73,823,906
PB304L-CX900T1-7/8S16,"16""",900,304L,"1-7/8""",1.875,6.01,266.2,372.68,2285,2514
PB316L-CX900T1-7/8S16,"16""",900,316L,"1-7/8""",1.875,7.48,269.22,376.91,2864,3151
PBAL6061-CX900T1-7/8S16,"16""",900,AL-6061,"1-7/8""",1.875,5.1,89.78,125.69,686,755
PB304-CX900T2S16,"16""",900,304,"2""",2,5.55,283.94,397.52,2251,2477
PBSA36-CX900T2S16,"16""",900,SA-36,"2""",2,1.87,271.8,380.52,756,832
PBSA516-70-CX900T2S16,"16""",900,SA-516-70,"2""",2,2.18,271.8,380.52,874,962
PB304L-CX900T2S16,"16""",900,304L,"2""",2,6.01,283.94,397.52,2434,2678
PB316L-CX900T2S16,"16""",900,316L,"2""",2,7.48,287.17,402.04,3052,3358
PBAL6061-CX900T2S16,"16""",900,AL-6061,"2""",2,5.1,95.77,134.08,729,802
PB304-CX900T2-1/4S16,"16""",900,304,"2-1/4""",2.25,5.55,319.43,447.2,2527,2780
PBSA36-CX900T2-1/4S16,"16""",900,SA-36,"2-1/4""",2.25,1.87,305.77,428.08,845,930
