partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PB304L-CX150T1-5/8S3/4,"3/4""",150,304L,"1-5/8""",1.625,5.95,3.39,4.75,63,70
PB316L-CX150T1-5/8S3/4,"3/4""",150,316L,"1-5/8""",1.625,7.4,3.43,4.8,70,77
PBAL6061-CX150T1-5/8S3/4,"3/4""",150,AL-6061,"1-5/8""",1.625,5,1.14,1.6,43,48
PB304-CX150T1-3/4S3/4,"3/4""",150,304,"1-3/4""",1.75,5.5,3.65,5.11,63,70
PBSA36-CX150T1-3/4S3/4,"3/4""",150,SA-36,"1-3/4""",1.75,1.85,3.5,4.9,44,49
PBSA516-70-CX150T1-3/4S3/4,"3/4""",150,SA-516-70,"1-3/4""",1.75,2.15,3.5,4.9,45,50
PB304L-CX150T1-3/4S3/4,"3/4""",150,304L,"1-3/4""",1.75,5.95,3.65,5.11,65,72
PB316L-CX150T1-3/4S3/4,"3/4""",150,316L,"1-3/4""",1.75,7.4,3.7,5.18,73,81
PBAL6061-CX150T1-3/4S3/4,"3/4""",150,AL-6061,"1-3/4""",1.75,5,1.23,1.72,43,48
PB304-CX150T1-7/8S3/4,"3/4""",150,304,"1-7/8""",1.875,5.5,3.91,5.47,65,72
PBSA36-CX150T1-7/8S3/4,"3/4""",150,SA-36,"1-7/8""",1.875,1.85,3.75,5.25,45,50
PBSA516-70-CX150T1-7/8S3/4,"3/4""",150,SA-516-70,"1-7/8""",1.875,2.15,3.75,5.25,46,51
PB304L-CX150T1-7/8S3/4,"3/4""",150,304L,"1-7/8""",1.875,5.95,3.91,5.47,67,74
PB316L-CX150T1-7/8S3/4,"3/4""",150,316L,"1-7/8""",1.875,7.4,3.96,5.54,76,84
